Date,City,Temperature_C,Humidity_%,Rainfall_mm,Wind_Speed_kmh,Pressure_hPa,Weather_Condition
2024-01-01,Delhi,19.6,70.9,0.2,7.2,1030.6,Cloudy
2024-01-02,Delhi,26.9,69.4,0.0,10.2,1033.5,Partly Cloudy
2024-01-03,Delhi,22.4,64.6,0.0,10.1,1015.2,Clear
2024-01-04,Delhi,26.8,74.5,0.0,8.7,986.0,Clear
2024-01-05,Delhi,20.5,45.9,0.0,8.0,1022.4,Clear
2024-01-06,Delhi,26.2,56.5,0.0,4.4,1027.6,Clear
2024-01-07,Delhi,30.0,68.3,3.8,1.8,1013.8,Cloudy
2024-01-08,Delhi,22.5,71.3,0.0,8.7,1028.4,Clear
2024-01-09,Delhi,29.1,44.5,0.0,8.9,1019.3,Clear
2024-01-10,Delhi,28.3,56.2,7.5,9.0,1017.8,Cloudy
2024-01-11,Delhi,32.7,41.4,0.0,5.4,1022.2,Clear
2024-01-12,Delhi,28.7,48.3,0.0,5.3,1011.6,Partly Cloudy
2024-01-13,Delhi,31.4,67.0,0.0,14.9,1003.1,Clear
2024-01-14,Delhi,17.2,49.0,0.0,6.7,1015.3,Partly Cloudy
2024-01-15,Delhi,28.8,53.0,0.0,7.1,1011.8,Clear
2024-01-16,Delhi,28.4,71.0,0.0,1.1,1010.4,Partly Cloudy
2024-01-17,Delhi,28.8,79.6,0.0,7.2,1023.0,Clear
2024-01-18,Delhi,30.6,44.2,0.0,7.4,1009.9,Partly Cloudy
2024-01-19,Delhi,23.1,51.0,5.1,9.0,1027.0,Cloudy
2024-01-20,Delhi,31.4,62.7,0.0,10.2,998.7,Partly Cloudy
2024-01-21,Delhi,27.8,46.2,0.0,9.2,1008.2,Clear
2024-01-22,Delhi,23.8,43.7,0.0,7.5,992.9,Partly Cloudy
2024-01-23,Delhi,27.8,33.1,0.0,1.8,1004.5,Clear
2024-01-24,Delhi,29.5,64.4,0.0,10.2,1012.3,Clear
2024-01-25,Delhi,30.1,58.1,0.0,7.5,1001.2,Clear
2024-01-26,Delhi,21.3,77.2,0.0,5.3,1019.6,Clear
2024-01-27,Delhi,26.4,54.3,0.0,7.3,997.6,Clear
2024-01-28,Delhi,24.0,53.1,0.0,8.5,990.6,Clear
2024-01-29,Delhi,31.4,53.2,0.0,6.4,1022.2,Clear
2024-01-30,Delhi,28.3,59.8,0.0,10.0,1005.5,Partly Cloudy
2024-01-31,Delhi,30.1,62.8,0.0,6.4,1005.4,Clear
2024-02-01,Delhi,27.6,64.6,0.0,7.3,992.6,Partly Cloudy
2024-02-02,Delhi,28.1,51.6,0.0,7.0,1013.5,Clear
2024-02-03,Delhi,31.0,64.5,0.0,11.2,1010.6,Clear
2024-02-04,Delhi,28.2,49.7,0.0,5.6,1011.1,Partly Cloudy
2024-02-05,Delhi,32.1,52.0,0.0,7.2,1004.2,Partly Cloudy
2024-02-06,Delhi,30.5,54.6,0.0,13.5,1017.8,Clear
2024-02-07,Delhi,33.5,47.0,0.0,8.2,998.4,Clear
2024-02-08,Delhi,29.0,61.2,0.0,7.9,989.0,Partly Cloudy
2024-02-09,Delhi,27.3,54.1,0.0,8.6,1014.1,Clear
2024-02-10,Delhi,33.5,72.7,0.0,13.8,1011.6,Clear
2024-02-11,Delhi,33.6,54.0,0.0,5.8,1030.6,Clear
